"scenario","year","variable","value","units","parameter_value"
"Ref",1850,"Tgav",0.0900066675861855,"degC","ECS_1.5"
"Ref",1851,"Tgav",0.0921759797209684,"degC","ECS_1.5"
"Ref",1852,"Tgav",0.0958857956273617,"degC","ECS_1.5"
"Ref",1853,"Tgav",0.100456703751796,"degC","ECS_1.5"
"Ref",1854,"Tgav",0.104984395333664,"degC","ECS_1.5"
"Ref",1855,"Tgav",0.0979239834292561,"degC","ECS_1.5"
"Ref",1856,"Tgav",0.0557208242191084,"degC","ECS_1.5"
"Ref",1857,"Tgav",0.00659373998853458,"degC","ECS_1.5"
"Ref",1858,"Tgav",0.00052597378383886,"degC","ECS_1.5"
"Ref",1859,"Tgav",0.0245001883535656,"degC","ECS_1.5"
"Ref",1860,"Tgav",0.0501919728369013,"degC","ECS_1.5"
"Ref",1861,"Tgav",0.0655766221399945,"degC","ECS_1.5"
"Ref",1862,"Tgav",0.0685257676547114,"degC","ECS_1.5"
"Ref",1863,"Tgav",0.071683325266232,"degC","ECS_1.5"
"Ref",1864,"Tgav",0.0813323582516665,"degC","ECS_1.5"
"Ref",1865,"Tgav",0.0923187757201734,"degC","ECS_1.5"
"Ref",1866,"Tgav",0.101721911373132,"degC","ECS_1.5"
"Ref",1867,"Tgav",0.109228487767291,"degC","ECS_1.5"
"Ref",1868,"Tgav",0.114910664593279,"degC","ECS_1.5"
"Ref",1869,"Tgav",0.118566675705143,"degC","ECS_1.5"
"Ref",1870,"Tgav",0.121210670649381,"degC","ECS_1.5"
"Ref",1871,"Tgav",0.123677402341035,"degC","ECS_1.5"
"Ref",1872,"Tgav",0.124994136914156,"degC","ECS_1.5"
"Ref",1873,"Tgav",0.125457286947657,"degC","ECS_1.5"
"Ref",1874,"Tgav",0.127211208426508,"degC","ECS_1.5"
"Ref",1875,"Tgav",0.128623074965531,"degC","ECS_1.5"
"Ref",1876,"Tgav",0.126929604909907,"degC","ECS_1.5"
"Ref",1877,"Tgav",0.126182846612738,"degC","ECS_1.5"
"Ref",1878,"Tgav",0.129214757636656,"degC","ECS_1.5"
"Ref",1879,"Tgav",0.133906800321743,"degC","ECS_1.5"
"Ref",1880,"Tgav",0.138967995605418,"degC","ECS_1.5"
"Ref",1881,"Tgav",0.143842529637279,"degC","ECS_1.5"
"Ref",1882,"Tgav",0.13880893732879,"degC","ECS_1.5"
"Ref",1883,"Tgav",0.060483959505331,"degC","ECS_1.5"
"Ref",1884,"Tgav",-0.0531922952891011,"degC","ECS_1.5"
"Ref",1885,"Tgav",-0.078874209970537,"degC","ECS_1.5"
"Ref",1886,"Tgav",-0.0526414559611448,"degC","ECS_1.5"
"Ref",1887,"Tgav",-0.0258681503216975,"degC","ECS_1.5"
"Ref",1888,"Tgav",-0.000872313510807313,"degC","ECS_1.5"
"Ref",1889,"Tgav",0.0096061665546487,"degC","ECS_1.5"
"Ref",1890,"Tgav",0.0118732958238203,"degC","ECS_1.5"
"Ref",1891,"Tgav",0.0197276160285685,"degC","ECS_1.5"
"Ref",1892,"Tgav",0.0403445119812705,"degC","ECS_1.5"
"Ref",1893,"Tgav",0.0672834522427925,"degC","ECS_1.5"
"Ref",1894,"Tgav",0.0950838310818438,"degC","ECS_1.5"
"Ref",1895,"Tgav",0.113941527652528,"degC","ECS_1.5"
"Ref",1896,"Tgav",0.115541990983176,"degC","ECS_1.5"
"Ref",1897,"Tgav",0.111116819794326,"degC","ECS_1.5"
"Ref",1898,"Tgav",0.118334567586914,"degC","ECS_1.5"
"Ref",1899,"Tgav",0.134287171022784,"degC","ECS_1.5"
"Ref",1900,"Tgav",0.150509723772321,"degC","ECS_1.5"
"Ref",1901,"Tgav",0.161694499227575,"degC","ECS_1.5"
"Ref",1902,"Tgav",0.133273152211946,"degC","ECS_1.5"
"Ref",1903,"Tgav",0.0823532034440096,"degC","ECS_1.5"
"Ref",1904,"Tgav",0.0743524577046096,"degC","ECS_1.5"
"Ref",1905,"Tgav",0.101062646866396,"degC","ECS_1.5"
"Ref",1906,"Tgav",0.127693266310458,"degC","ECS_1.5"
"Ref",1907,"Tgav",0.143448734595531,"degC","ECS_1.5"
"Ref",1908,"Tgav",0.155559433512317,"degC","ECS_1.5"
"Ref",1909,"Tgav",0.17045525633103,"degC","ECS_1.5"
"Ref",1910,"Tgav",0.184844503727422,"degC","ECS_1.5"
"Ref",1911,"Tgav",0.196405370670731,"degC","ECS_1.5"
"Ref",1912,"Tgav",0.18540632127461,"degC","ECS_1.5"
"Ref",1913,"Tgav",0.170239789113611,"degC","ECS_1.5"
"Ref",1914,"Tgav",0.179490819894702,"degC","ECS_1.5"
"Ref",1915,"Tgav",0.196175119367887,"degC","ECS_1.5"
"Ref",1916,"Tgav",0.210495725404891,"degC","ECS_1.5"
"Ref",1917,"Tgav",0.221677854674087,"degC","ECS_1.5"
"Ref",1918,"Tgav",0.23086238698272,"degC","ECS_1.5"
"Ref",1919,"Tgav",0.237805792788498,"degC","ECS_1.5"
"Ref",1920,"Tgav",0.236863777093345,"degC","ECS_1.5"
"Ref",1921,"Tgav",0.235950524971953,"degC","ECS_1.5"
"Ref",1922,"Tgav",0.243608531348522,"degC","ECS_1.5"
"Ref",1923,"Tgav",0.251629217686657,"degC","ECS_1.5"
"Ref",1924,"Tgav",0.25672520649014,"degC","ECS_1.5"
"Ref",1925,"Tgav",0.261035393221289,"degC","ECS_1.5"
"Ref",1926,"Tgav",0.265599847132537,"degC","ECS_1.5"
"Ref",1927,"Tgav",0.26950628572275,"degC","ECS_1.5"
"Ref",1928,"Tgav",0.269036878632217,"degC","ECS_1.5"
"Ref",1929,"Tgav",0.265564791694532,"degC","ECS_1.5"
"Ref",1930,"Tgav",0.266423142379127,"degC","ECS_1.5"
"Ref",1931,"Tgav",0.270290419407632,"degC","ECS_1.5"
"Ref",1932,"Tgav",0.271234608812677,"degC","ECS_1.5"
"Ref",1933,"Tgav",0.273328200519673,"degC","ECS_1.5"
"Ref",1934,"Tgav",0.278764104059238,"degC","ECS_1.5"
"Ref",1935,"Tgav",0.2838695521979,"degC","ECS_1.5"
"Ref",1936,"Tgav",0.289020194258923,"degC","ECS_1.5"
"Ref",1937,"Tgav",0.293283993584647,"degC","ECS_1.5"
"Ref",1938,"Tgav",0.295785581377149,"degC","ECS_1.5"
"Ref",1939,"Tgav",0.298502776864221,"degC","ECS_1.5"
"Ref",1940,"Tgav",0.30300097784171,"degC","ECS_1.5"
"Ref",1941,"Tgav",0.308048221884114,"degC","ECS_1.5"
"Ref",1942,"Tgav",0.310880260187286,"degC","ECS_1.5"
"Ref",1943,"Tgav",0.313576867696245,"degC","ECS_1.5"
"Ref",1944,"Tgav",0.31863590163584,"degC","ECS_1.5"
"Ref",1945,"Tgav",0.324284491341601,"degC","ECS_1.5"
"Ref",1946,"Tgav",0.329886315238485,"degC","ECS_1.5"
"Ref",1947,"Tgav",0.334189671579881,"degC","ECS_1.5"
"Ref",1948,"Tgav",0.338264648481799,"degC","ECS_1.5"
"Ref",1949,"Tgav",0.341874772520653,"degC","ECS_1.5"
"Ref",1950,"Tgav",0.345585595633056,"degC","ECS_1.5"
"Ref",1951,"Tgav",0.350162577595519,"degC","ECS_1.5"
"Ref",1952,"Tgav",0.354737552320158,"degC","ECS_1.5"
"Ref",1953,"Tgav",0.359210430405177,"degC","ECS_1.5"
"Ref",1954,"Tgav",0.364846550512624,"degC","ECS_1.5"
"Ref",1955,"Tgav",0.372776038102436,"degC","ECS_1.5"
"Ref",1956,"Tgav",0.381542257957942,"degC","ECS_1.5"
"Ref",1957,"Tgav",0.390811772606749,"degC","ECS_1.5"
"Ref",1958,"Tgav",0.400142728552491,"degC","ECS_1.5"
"Ref",1959,"Tgav",0.408886045683066,"degC","ECS_1.5"
"Ref",1960,"Tgav",0.411392629590386,"degC","ECS_1.5"
"Ref",1961,"Tgav",0.408363379831931,"degC","ECS_1.5"
"Ref",1962,"Tgav",0.403115931610603,"degC","ECS_1.5"
"Ref",1963,"Tgav",0.362662457292084,"degC","ECS_1.5"
"Ref",1964,"Tgav",0.308117655172625,"degC","ECS_1.5"
"Ref",1965,"Tgav",0.301210787690901,"degC","ECS_1.5"
"Ref",1966,"Tgav",0.33185250650904,"degC","ECS_1.5"
"Ref",1967,"Tgav",0.364983585481354,"degC","ECS_1.5"
"Ref",1968,"Tgav",0.372071756840975,"degC","ECS_1.5"
"Ref",1969,"Tgav",0.372328905497283,"degC","ECS_1.5"
"Ref",1970,"Tgav",0.395664049718822,"degC","ECS_1.5"
"Ref",1971,"Tgav",0.429700124807986,"degC","ECS_1.5"
"Ref",1972,"Tgav",0.459420981882659,"degC","ECS_1.5"
"Ref",1973,"Tgav",0.47917562358026,"degC","ECS_1.5"
"Ref",1974,"Tgav",0.484441377014124,"degC","ECS_1.5"
"Ref",1975,"Tgav",0.484147412650054,"degC","ECS_1.5"
"Ref",1976,"Tgav",0.498997181051521,"degC","ECS_1.5"
"Ref",1977,"Tgav",0.526534284339918,"degC","ECS_1.5"
"Ref",1978,"Tgav",0.547523979811222,"degC","ECS_1.5"
"Ref",1979,"Tgav",0.56464290801574,"degC","ECS_1.5"
"Ref",1980,"Tgav",0.585469679244769,"degC","ECS_1.5"
"Ref",1981,"Tgav",0.598091004715972,"degC","ECS_1.5"
"Ref",1982,"Tgav",0.554831694940574,"degC","ECS_1.5"
"Ref",1983,"Tgav",0.505399287953052,"degC","ECS_1.5"
"Ref",1984,"Tgav",0.523170155777754,"degC","ECS_1.5"
"Ref",1985,"Tgav",0.564615018927346,"degC","ECS_1.5"
"Ref",1986,"Tgav",0.599619895527883,"degC","ECS_1.5"
"Ref",1987,"Tgav",0.628193979964295,"degC","ECS_1.5"
"Ref",1988,"Tgav",0.654223836749495,"degC","ECS_1.5"
"Ref",1989,"Tgav",0.677740177107204,"degC","ECS_1.5"
"Ref",1990,"Tgav",0.694900817927053,"degC","ECS_1.5"
"Ref",1991,"Tgav",0.631731192903844,"degC","ECS_1.5"
"Ref",1992,"Tgav",0.54349928701498,"degC","ECS_1.5"
"Ref",1993,"Tgav",0.548071532301208,"degC","ECS_1.5"
"Ref",1994,"Tgav",0.602165743449553,"degC","ECS_1.5"
"Ref",1995,"Tgav",0.655306255497302,"degC","ECS_1.5"
"Ref",1996,"Tgav",0.696957324174925,"degC","ECS_1.5"
"Ref",1997,"Tgav",0.732455658789233,"degC","ECS_1.5"
"Ref",1998,"Tgav",0.76122088694065,"degC","ECS_1.5"
"Ref",1999,"Tgav",0.784487203533534,"degC","ECS_1.5"
"Ref",2000,"Tgav",0.804229631449836,"degC","ECS_1.5"
"Ref",2001,"Tgav",0.822105466452813,"degC","ECS_1.5"
"Ref",2002,"Tgav",0.839300783229017,"degC","ECS_1.5"
"Ref",2003,"Tgav",0.854970252465051,"degC","ECS_1.5"
"Ref",2004,"Tgav",0.870657845723364,"degC","ECS_1.5"
"Ref",2005,"Tgav",0.8826168408432,"degC","ECS_1.5"
"Ref",2006,"Tgav",0.885311829988187,"degC","ECS_1.5"
"Ref",2007,"Tgav",0.885829251647409,"degC","ECS_1.5"
"Ref",2008,"Tgav",0.890734813583682,"degC","ECS_1.5"
"Ref",2009,"Tgav",0.898525838837657,"degC","ECS_1.5"
"Ref",2010,"Tgav",0.908019156588623,"degC","ECS_1.5"
"Ref",2011,"Tgav",0.918258580648333,"degC","ECS_1.5"
"Ref",2012,"Tgav",0.928521611247153,"degC","ECS_1.5"
"Ref",2013,"Tgav",0.938416102858361,"degC","ECS_1.5"
"Ref",2014,"Tgav",0.948162327360278,"degC","ECS_1.5"
"Ref",2015,"Tgav",0.957942332576017,"degC","ECS_1.5"
"Ref",2016,"Tgav",0.967922808855984,"degC","ECS_1.5"
"Ref",2017,"Tgav",0.978248755931886,"degC","ECS_1.5"
"Ref",2018,"Tgav",0.989000275225169,"degC","ECS_1.5"
"Ref",2019,"Tgav",1.00015715830232,"degC","ECS_1.5"
"Ref",2020,"Tgav",1.01170681481579,"degC","ECS_1.5"
"Ref",2021,"Tgav",1.023802689871,"degC","ECS_1.5"
"Ref",2022,"Tgav",1.03639159220032,"degC","ECS_1.5"
"Ref",2023,"Tgav",1.04943120202203,"degC","ECS_1.5"
"Ref",2024,"Tgav",1.06290957573852,"degC","ECS_1.5"
"Ref",2025,"Tgav",1.07681497116381,"degC","ECS_1.5"
"Ref",2026,"Tgav",1.09114623948207,"degC","ECS_1.5"
"Ref",2027,"Tgav",1.10591902728334,"degC","ECS_1.5"
"Ref",2028,"Tgav",1.12113486115054,"degC","ECS_1.5"
"Ref",2029,"Tgav",1.13677583238599,"degC","ECS_1.5"
"Ref",2030,"Tgav",1.15282469216678,"degC","ECS_1.5"
"Ref",2031,"Tgav",1.16927812612428,"degC","ECS_1.5"
"Ref",2032,"Tgav",1.18614369914064,"degC","ECS_1.5"
"Ref",2033,"Tgav",1.20341926725406,"degC","ECS_1.5"
"Ref",2034,"Tgav",1.22105113295749,"degC","ECS_1.5"
"Ref",2035,"Tgav",1.2390005883622,"degC","ECS_1.5"
"Ref",2036,"Tgav",1.2572468487205,"degC","ECS_1.5"
"Ref",2037,"Tgav",1.27574104124025,"degC","ECS_1.5"
"Ref",2038,"Tgav",1.29445511314588,"degC","ECS_1.5"
"Ref",2039,"Tgav",1.3133823914531,"degC","ECS_1.5"
"Ref",2040,"Tgav",1.33251607319147,"degC","ECS_1.5"
"Ref",2041,"Tgav",1.35187127649502,"degC","ECS_1.5"
"Ref",2042,"Tgav",1.37139974896416,"degC","ECS_1.5"
"Ref",2043,"Tgav",1.39106713290303,"degC","ECS_1.5"
"Ref",2044,"Tgav",1.41088378188283,"degC","ECS_1.5"
"Ref",2045,"Tgav",1.43085452441367,"degC","ECS_1.5"
"Ref",2046,"Tgav",1.45097272207894,"degC","ECS_1.5"
"Ref",2047,"Tgav",1.47122101924905,"degC","ECS_1.5"
"Ref",2048,"Tgav",1.49158563759944,"degC","ECS_1.5"
"Ref",2049,"Tgav",1.5120806409189,"degC","ECS_1.5"
"Ref",2050,"Tgav",1.53271337361685,"degC","ECS_1.5"
"Ref",2051,"Tgav",1.55350548813626,"degC","ECS_1.5"
"Ref",2052,"Tgav",1.57437340427979,"degC","ECS_1.5"
"Ref",2053,"Tgav",1.59526329427431,"degC","ECS_1.5"
"Ref",2054,"Tgav",1.61618601495578,"degC","ECS_1.5"
"Ref",2055,"Tgav",1.63714949008747,"degC","ECS_1.5"
"Ref",2056,"Tgav",1.6581279229753,"degC","ECS_1.5"
"Ref",2057,"Tgav",1.67911247480724,"degC","ECS_1.5"
"Ref",2058,"Tgav",1.70009753502015,"degC","ECS_1.5"
"Ref",2059,"Tgav",1.72108746571994,"degC","ECS_1.5"
"Ref",2060,"Tgav",1.74208603202708,"degC","ECS_1.5"
"Ref",2061,"Tgav",1.7631236380826,"degC","ECS_1.5"
"Ref",2062,"Tgav",1.78418960747103,"degC","ECS_1.5"
"Ref",2063,"Tgav",1.80527562916721,"degC","ECS_1.5"
"Ref",2064,"Tgav",1.8263875110206,"degC","ECS_1.5"
"Ref",2065,"Tgav",1.84752934480709,"degC","ECS_1.5"
"Ref",2066,"Tgav",1.86870241509432,"degC","ECS_1.5"
"Ref",2067,"Tgav",1.88990737136895,"degC","ECS_1.5"
"Ref",2068,"Tgav",1.91114381876415,"degC","ECS_1.5"
"Ref",2069,"Tgav",1.93241019307071,"degC","ECS_1.5"
"Ref",2070,"Tgav",1.95370550112854,"degC","ECS_1.5"
"Ref",2071,"Tgav",1.97502490496982,"degC","ECS_1.5"
"Ref",2072,"Tgav",1.99635639607865,"degC","ECS_1.5"
"Ref",2073,"Tgav",2.01768517010197,"degC","ECS_1.5"
"Ref",2074,"Tgav",2.03900104257956,"degC","ECS_1.5"
"Ref",2075,"Tgav",2.06029829708381,"degC","ECS_1.5"
"Ref",2076,"Tgav",2.08158836785056,"degC","ECS_1.5"
"Ref",2077,"Tgav",2.10286802764788,"degC","ECS_1.5"
"Ref",2078,"Tgav",2.12413450168608,"degC","ECS_1.5"
"Ref",2079,"Tgav",2.14538438839454,"degC","ECS_1.5"
"Ref",2080,"Tgav",2.16661577879589,"degC","ECS_1.5"
"Ref",2081,"Tgav",2.18781043587947,"degC","ECS_1.5"
"Ref",2082,"Tgav",2.20894944765963,"degC","ECS_1.5"
"Ref",2083,"Tgav",2.23002094423022,"degC","ECS_1.5"
"Ref",2084,"Tgav",2.25102053770464,"degC","ECS_1.5"
"Ref",2085,"Tgav",2.2719465439975,"degC","ECS_1.5"
"Ref",2086,"Tgav",2.29281225349879,"degC","ECS_1.5"
"Ref",2087,"Tgav",2.3136168991719,"degC","ECS_1.5"
"Ref",2088,"Tgav",2.33435943527904,"degC","ECS_1.5"
"Ref",2089,"Tgav",2.35503908034516,"degC","ECS_1.5"
"Ref",2090,"Tgav",2.37565601591863,"degC","ECS_1.5"
"Ref",2091,"Tgav",2.39613635490852,"degC","ECS_1.5"
"Ref",2092,"Tgav",2.41648252801479,"degC","ECS_1.5"
"Ref",2093,"Tgav",2.43670039763333,"degC","ECS_1.5"
"Ref",2094,"Tgav",2.45679338273157,"degC","ECS_1.5"
"Ref",2095,"Tgav",2.47676487455874,"degC","ECS_1.5"
"Ref",2096,"Tgav",2.49680787954999,"degC","ECS_1.5"
"Ref",2097,"Tgav",2.51693147487908,"degC","ECS_1.5"
"Ref",2098,"Tgav",2.53714437388216,"degC","ECS_1.5"
"Ref",2099,"Tgav",2.55745288127314,"degC","ECS_1.5"
"Ref",2100,"Tgav",2.57786043226229,"degC","ECS_1.5"
"Ref",1850,"Tgav",0.102469583932049,"degC","ECS_2"
"Ref",1851,"Tgav",0.10585439009444,"degC","ECS_2"
"Ref",1852,"Tgav",0.110725406629004,"degC","ECS_2"
"Ref",1853,"Tgav",0.116504868576612,"degC","ECS_2"
"Ref",1854,"Tgav",0.122277403412344,"degC","ECS_2"
"Ref",1855,"Tgav",0.116209837838103,"degC","ECS_2"
"Ref",1856,"Tgav",0.0733901580830176,"degC","ECS_2"
"Ref",1857,"Tgav",0.0206532259668811,"degC","ECS_2"
"Ref",1858,"Tgav",0.0103538406737103,"degC","ECS_2"
"Ref",1859,"Tgav",0.0328716889547634,"degC","ECS_2"
"Ref",1860,"Tgav",0.059549957946139,"degC","ECS_2"
"Ref",1861,"Tgav",0.0767412296513093,"degC","ECS_2"
"Ref",1862,"Tgav",0.0812276479960167,"degC","ECS_2"
"Ref",1863,"Tgav",0.0853319867155542,"degC","ECS_2"
"Ref",1864,"Tgav",0.0960177864926333,"degC","ECS_2"
"Ref",1865,"Tgav",0.108490704102096,"degC","ECS_2"
"Ref",1866,"Tgav",0.119569394158062,"degC","ECS_2"
"Ref",1867,"Tgav",0.128740728860194,"degC","ECS_2"
"Ref",1868,"Tgav",0.135989575790566,"degC","ECS_2"
"Ref",1869,"Tgav",0.141054806497506,"degC","ECS_2"
"Ref",1870,"Tgav",0.14491452510884,"degC","ECS_2"
"Ref",1871,"Tgav",0.148457809597153,"degC","ECS_2"
"Ref",1872,"Tgav",0.150744818619463,"degC","ECS_2"
"Ref",1873,"Tgav",0.15202156003373,"degC","ECS_2"
"Ref",1874,"Tgav",0.1544885075535,"degC","ECS_2"
"Ref",1875,"Tgav",0.156628759123132,"degC","ECS_2"
"Ref",1876,"Tgav",0.155545325496262,"degC","ECS_2"
"Ref",1877,"Tgav",0.155175838119822,"degC","ECS_2"
"Ref",1878,"Tgav",0.158641445580481,"degC","ECS_2"
"Ref",1879,"Tgav",0.164022353242033,"degC","ECS_2"
"Ref",1880,"Tgav",0.169947533224439,"degC","ECS_2"
"Ref",1881,"Tgav",0.17578703545146,"degC","ECS_2"
"Ref",1882,"Tgav",0.171557907049877,"degC","ECS_2"
"Ref",1883,"Tgav",0.0917704747093799,"degC","ECS_2"
"Ref",1884,"Tgav",-0.0296944331305928,"degC","ECS_2"
"Ref",1885,"Tgav",-0.0657192702161227,"degC","ECS_2"
"Ref",1886,"Tgav",-0.0446553053957103,"degC","ECS_2"
"Ref",1887,"Tgav",-0.0190717368406914,"degC","ECS_2"
"Ref",1888,"Tgav",0.00620804211763541,"degC","ECS_2"
"Ref",1889,"Tgav",0.0176709086353083,"degC","ECS_2"
"Ref",1890,"Tgav",0.0204648176507877,"degC","ECS_2"
"Ref",1891,"Tgav",0.028619251987401,"degC","ECS_2"
"Ref",1892,"Tgav",0.0502088718685367,"degC","ECS_2"
"Ref",1893,"Tgav",0.0793190577612254,"degC","ECS_2"
"Ref",1894,"Tgav",0.110194802323071,"degC","ECS_2"
"Ref",1895,"Tgav",0.132500771833177,"degC","ECS_2"
"Ref",1896,"Tgav",0.13694542472368,"degC","ECS_2"
"Ref",1897,"Tgav",0.134103498731108,"degC","ECS_2"
"Ref",1898,"Tgav",0.142419500798495,"degC","ECS_2"
"Ref",1899,"Tgav",0.160136828417799,"degC","ECS_2"
"Ref",1900,"Tgav",0.178764905396027,"degC","ECS_2"
"Ref",1901,"Tgav",0.192497861805917,"degC","ECS_2"
"Ref",1902,"Tgav",0.16559608182928,"degC","ECS_2"
"Ref",1903,"Tgav",0.112844912553792,"degC","ECS_2"
"Ref",1904,"Tgav",0.101399483561023,"degC","ECS_2"
"Ref",1905,"Tgav",0.127284046441119,"degC","ECS_2"
"Ref",1906,"Tgav",0.15562635953368,"degC","ECS_2"
"Ref",1907,"Tgav",0.173734441728887,"degC","ECS_2"
"Ref",1908,"Tgav",0.188021245877422,"degC","ECS_2"
"Ref",1909,"Tgav",0.205142180980417,"degC","ECS_2"
"Ref",1910,"Tgav",0.222043314682949,"degC","ECS_2"
"Ref",1911,"Tgav",0.236162957704677,"degC","ECS_2"
"Ref",1912,"Tgav",0.227144309612113,"degC","ECS_2"
"Ref",1913,"Tgav",0.212249194797719,"degC","ECS_2"
"Ref",1914,"Tgav",0.221500891260153,"degC","ECS_2"
"Ref",1915,"Tgav",0.239626381766838,"degC","ECS_2"
"Ref",1916,"Tgav",0.256067300841102,"degC","ECS_2"
"Ref",1917,"Tgav",0.269488636754031,"degC","ECS_2"
"Ref",1918,"Tgav",0.280857774978375,"degC","ECS_2"
"Ref",1919,"Tgav",0.289877568012442,"degC","ECS_2"
"Ref",1920,"Tgav",0.290696736348367,"degC","ECS_2"
"Ref",1921,"Tgav",0.290935150206689,"degC","ECS_2"
"Ref",1922,"Tgav",0.299726737353166,"degC","ECS_2"
"Ref",1923,"Tgav",0.309350344613991,"degC","ECS_2"
"Ref",1924,"Tgav",0.316090801103211,"degC","ECS_2"
"Ref",1925,"Tgav",0.321898235797026,"degC","ECS_2"
"Ref",1926,"Tgav",0.327899997912064,"degC","ECS_2"
"Ref",1927,"Tgav",0.333218582680827,"degC","ECS_2"
"Ref",1928,"Tgav",0.334002626751904,"degC","ECS_2"
"Ref",1929,"Tgav",0.331373021726845,"degC","ECS_2"
"Ref",1930,"Tgav",0.332825631137531,"degC","ECS_2"
"Ref",1931,"Tgav",0.337498039857873,"degC","ECS_2"
"Ref",1932,"Tgav",0.339369497691672,"degC","ECS_2"
"Ref",1933,"Tgav",0.342251837443205,"degC","ECS_2"
"Ref",1934,"Tgav",0.348603960814029,"degC","ECS_2"
"Ref",1935,"Tgav",0.354857897928604,"degC","ECS_2"
"Ref",1936,"Tgav",0.36120909065807,"degC","ECS_2"
"Ref",1937,"Tgav",0.36671145071861,"degC","ECS_2"
"Ref",1938,"Tgav",0.370387805545632,"degC","ECS_2"
"Ref",1939,"Tgav",0.374165508624487,"degC","ECS_2"
"Ref",1940,"Tgav",0.379744574068209,"degC","ECS_2"
"Ref",1941,"Tgav",0.385992048809939,"degC","ECS_2"
"Ref",1942,"Tgav",0.390042333223465,"degC","ECS_2"
"Ref",1943,"Tgav",0.393828154471301,"degC","ECS_2"
"Ref",1944,"Tgav",0.399994139297791,"degC","ECS_2"
"Ref",1945,"Tgav",0.406910401902791,"degC","ECS_2"
"Ref",1946,"Tgav",0.413859577560507,"degC","ECS_2"
"Ref",1947,"Tgav",0.41952604442013,"degC","ECS_2"
"Ref",1948,"Tgav",0.42489934483933,"degC","ECS_2"
"Ref",1949,"Tgav",0.429778076304885,"degC","ECS_2"
"Ref",1950,"Tgav",0.434717115894865,"degC","ECS_2"
"Ref",1951,"Tgav",0.440532589434844,"degC","ECS_2"
"Ref",1952,"Tgav",0.446399468715047,"degC","ECS_2"
"Ref",1953,"Tgav",0.452175360613221,"degC","ECS_2"
"Ref",1954,"Tgav",0.45914467050175,"degC","ECS_2"
"Ref",1955,"Tgav",0.468549492968031,"degC","ECS_2"
"Ref",1956,"Tgav",0.479010020625946,"degC","ECS_2"
"Ref",1957,"Tgav",0.490127359594165,"degC","ECS_2"
"Ref",1958,"Tgav",0.501430766459909,"degC","ECS_2"
"Ref",1959,"Tgav",0.512218464007359,"degC","ECS_2"
"Ref",1960,"Tgav",0.516657420853297,"degC","ECS_2"
"Ref",1961,"Tgav",0.515024456888662,"degC","ECS_2"
"Ref",1962,"Tgav",0.510608520935582,"degC","ECS_2"
"Ref",1963,"Tgav",0.469839244697061,"degC","ECS_2"
"Ref",1964,"Tgav",0.411869403503705,"degC","ECS_2"
"Ref",1965,"Tgav",0.400542893509879,"degC","ECS_2"
"Ref",1966,"Tgav",0.429906113397728,"degC","ECS_2"
"Ref",1967,"Tgav",0.464759751968497,"degC","ECS_2"
"Ref",1968,"Tgav",0.474285621623603,"degC","ECS_2"
"Ref",1969,"Tgav",0.475846159948918,"degC","ECS_2"
"Ref",1970,"Tgav",0.500557637562619,"degC","ECS_2"
"Ref",1971,"Tgav",0.537741735555981,"degC","ECS_2"
"Ref",1972,"Tgav",0.571733483933441,"degC","ECS_2"
"Ref",1973,"Tgav",0.595863432781984,"degC","ECS_2"
"Ref",1974,"Tgav",0.604865843805547,"degC","ECS_2"
"Ref",1975,"Tgav",0.607206638324347,"degC","ECS_2"
"Ref",1976,"Tgav",0.624338203601141,"degC","ECS_2"
"Ref",1977,"Tgav",0.655197477525668,"degC","ECS_2"
"Ref",1978,"Tgav",0.680396054943741,"degC","ECS_2"
"Ref",1979,"Tgav",0.701570864719659,"degC","ECS_2"
"Ref",1980,"Tgav",0.726433128454604,"degC","ECS_2"
"Ref",1981,"Tgav",0.743222410255702,"degC","ECS_2"
"Ref",1982,"Tgav",0.702442279691401,"degC","ECS_2"
"Ref",1983,"Tgav",0.651187597671685,"degC","ECS_2"
"Ref",1984,"Tgav",0.666773623883589,"degC","ECS_2"
"Ref",1985,"Tgav",0.710182299338477,"degC","ECS_2"
"Ref",1986,"Tgav",0.749336831108905,"degC","ECS_2"
"Ref",1987,"Tgav",0.782569617045161,"degC","ECS_2"
"Ref",1988,"Tgav",0.813418671287761,"degC","ECS_2"
"Ref",1989,"Tgav",0.841861918769305,"degC","ECS_2"
"Ref",1990,"Tgav",0.86383813127584,"degC","ECS_2"
"Ref",1991,"Tgav",0.803395503201942,"degC","ECS_2"
"Ref",1992,"Tgav",0.711422869709697,"degC","ECS_2"
"Ref",1993,"Tgav",0.710532563779299,"degC","ECS_2"
"Ref",1994,"Tgav",0.764859915971963,"degC","ECS_2"
"Ref",1995,"Tgav",0.822323184465457,"degC","ECS_2"
"Ref",1996,"Tgav",0.869655637345344,"degC","ECS_2"
"Ref",1997,"Tgav",0.911134877138601,"degC","ECS_2"
"Ref",1998,"Tgav",0.94595298040334,"degC","ECS_2"
"Ref",1999,"Tgav",0.975017575313348,"degC","ECS_2"
"Ref",2000,"Tgav",1.00021381260292,"degC","ECS_2"
"Ref",2001,"Tgav",1.02323680180304,"degC","ECS_2"
"Ref",2002,"Tgav",1.04535704916084,"degC","ECS_2"
"Ref",2003,"Tgav",1.06578794383133,"degC","ECS_2"
"Ref",2004,"Tgav",1.08606196387544,"degC","ECS_2"
